role	i	j	affiliation
p	SALAUN MARIE	2019_ST28	CANTHEL UNIVERSITE PARIS DESCARTES
p	SALLE LOIC	2019_ST49	ATELIER SHERPAS, UREPSSS, EA 7369, UNIVERSITE DE LILLE
p	SALLES DENIS	2019_ST61	IRSTEA BORDEAUX
p	SALLUSTIO MADELEINE	2019_ST63	LAMC, UNIVERSITE LIBRE DE BRUXELLES
d	SALOMONE ROSEMARY	2013_ST14	SAINT JOHNS U. (USA)
p	SAMUEL BORIS	2017_ST6	ECOLE GOUVERNANCE ECONOMIE RABAT (MAROC)
p	SAN JUAN ERIC	2015_ST4	LIA, U. AVIGNON
NA	SANCHEZ JEAN-LUCIEN	2019_STEPOPE	NA
p	SANCTON ANDREW	2015_ST34	U. WESTERN ONTARIO (CANADA)
d	SANDERS HILARY	2013_ST14	U. PARIS 7
p	SANDRI GIULIA	2009_ST39	CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
p	SANDRI GIULIA	2015_ST21	ESPOL, U. CATHOLIQUE LILLE
o	SANGAR ERIC	2019_ST11	SCIENCES PO LILLE / CERAPS
p	SANSEIGNE FRANCIS	2009_ST50	GREPH LEPS, U. LYON
p	SAPORITI MICHELE	2017_ST32	GSRL, EPHE PARIS / U. MILANO BICOCCA (ITALIE)
p	SARANGI ASHA	2013_ST14	JAWAHARLAL NEHRU U. (INDE)
p	SARGEAC MELANIE	2019_ST36	IDHES UNIVERSITE PARIS NANTERRE
o	SAUGER NICOLAS	2009_ST17	CEE, SCIENCES PO PARIS / CEVIPOF, SCIENCES PO PARIS
p	SAUGER NICOLAS	2009_ST4	CEE, SCIENCES PO PARIS / CEVIPOF, SCIENCES PO PARIS
p	SAUGER NICOLAS	2009_ST42	CEE, SCIENCES PO PARIS / CEVIPOF, SCIENCES PO PARIS
p	SAUGER NICOLAS	2009_ST48	CEE, SCIENCES PO PARIS / CEVIPOF, SCIENCES PO PARIS
o	SAUGER NICOLAS	2009_ST5	CEE, SCIENCES PO PARIS / CEVIPOF, SCIENCES PO PARIS
p	SAUGER NICOLAS	2013_ST28	CEE, SCIENCES PO PARIS
p	SAUGER NICOLAS	2013_ST6	CEE, SCIENCES PO PARIS
p	SAUGER NICOLAS	2015_ST1	CEE, SCIENCES PO PARIS
d	SAULIERE JEROME	2013_ST14	ECOLE POLYTECHNIQUE PALAISEAU
d	SAURUGGER SABINE	2009_ST1	PACTE, IEP GRENOBLE
p	SAURUGGER SABINE	2009_ST20	PACTE, IEP GRENOBLE
o	SAURUGGER SABINE	2011_ST46	PACTE, IEP GRENOBLE
p	SAURUGGER SABINE	2013_ST7	PACTE, IEP GRENOBLE
p	SAURUGGER SABINE	2017_ST25	PACTE, IEP GRENOBLE
p	SAURUGGER SABINE	2019_ST55	ET FABIEN TERPAN SCIENCES PO GRENOBLE
o	SAURUGGER SABINE	2019_ST56	UNIV GRENOBLE ALPES, SCIENCES PO GRENOBLE, CNRS/ PACTE
p	SAUVETRE PIERRE	2009_ST37	SCIENCES PO PARIS
p	SAUVETRE PIERRE	2013_ST55	SCIENCES PO PARIS
p	SAUVETRE PIERRE	2013_ST60	SCIENCES PO PARIS
p	SAVANE LAMINE	2015_ST19	CEPEL, U MONTPELLIER 1
p	SAVANE LAMINE	2015_ST34	CEPEL, U MONTPELLIER 1
p	SAVANE LAMINE	2019_ST18	CEPEL UNIVERSITE DE MONTPELLIER
p	SAVARD DENIS	2019_ST36	UNIVERSITE LAVAL
p	SAVARESE ERIC	2011_ST34	CERTAP, U. PERPIGNAN / CEPEL, U MONTPELLIER 1
d	SAVARESE ERIC	2011_ST50	CERTAP, U. PERPIGNAN / CEPEL, U MONTPELLIER 1
p	SAVARESE ERIC	2015_ST4	CEPEL, U MONTPELLIER 1
o	SAVARESE ERIC	2017_ST33	CEPEL, U MONTPELLIER 1
p	SAVARESE ERIC	2019_ST25	CEPEL UNIVERSITE DE MONTPELLIER
d	SAWICKI FREDERIC	2009_ST7	NA
d	SAWICKI FREDERIC	2011_ST31	NA
d	SAWICKI FREDERIC	2013_ST25	CESSP-CRPS, U. PARIS 1
p	SAWICKI FREDERIC	2013_ST28	CESSP-CRPS, U. PARIS 1
o	SAWICKI FREDERIC	2013_ST30	CESSP-CRPS, U. PARIS 1
p	SAWICKI FREDERIC	2013_ST37	CESSP-CRPS, U. PARIS 1
d	SAWICKI FREDERIC	2015_ST14	CESSP-CRPS, U. PARIS 1
d	SAWICKI FREDERIC	2017_ST37	CESSP-CRPS, U. PARIS 1
d	SAWICKI FREDERIC	2017_ST39	CESSP-CRPS, U. PARIS 1
o	SAWICKI FREDERIC	2019_ST64	UNIVERSITE PARIS 1 PANTHEON SORBONNE, CENTRE EUROPEEN DE SOCIOLOGIE ET DE SCIENCE POLITIQUE CESSP
o	SAWICKI FREDERIC	2019_ST73	UNIVERSITE PARIS 1, CESSP
p	SBARAGLIA FANNY	2015_ST42	CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
p	SCALA MICHELE	2017_ST30	IREMAM, U. AIX MARSEILLE 2
p	SCANLON RAUSCH MARY	2011_ST44	WEST TEXAS A&M U. (USA)
p	SCAPIN THOMAS	2017_ST24	IEP LYON
p	SCAPIN THOMAS	2019_ST47	SCIENCES PO LYON
p	SCHADEE HANS	2011_ST33	U. MILANO BICOCCA (ITALIE)
p	SCHEER DAVID	2019_STEPOPE	CENTRE DE RECHERCHES PENALITE, SECURITE ET DEVIANCES, UNIVERSITE LIBRE DE BRUXELLES
p	SCHEHL VALENTINE	2019_ST53	UNIVERSITE PARIS 1 PANTHEON SORBONNE
p	SCHEHL VALENTINE	2019_STGAREGULATIONSMARCHESCAPITALISMES	SCHEHL VALENTINE CESSP-CRPS, U. PARIS 1
p	SCHEIDHAUER CHRISTOPHE	2009_ST39	SCIENCES PO PARIS
p	SCHEMEIL YVES	2009_ST32	PACTE, IEP GRENOBLE
p	SCHEMEIL YVES	2011_ST2	PACTE, IEP GRENOBLE
o	SCHEMEIL YVES	2013_ST49	PACTE, IEP GRENOBLE
d	SCHEMEIL YVES	2015_ST37	PACTE, IEP GRENOBLE
p	SCHEMEIL YVES	2015_ST61	PACTE, IEP GRENOBLE
p	SCHEMEIL YVES	2015_ST8	PACTE, IEP GRENOBLE
o	SCHEMEIL YVES	2015_ST9	PACTE, IEP GRENOBLE
p	SCHERER PAULINE	2017_ST51	LERIS MONTPELLIER
p	SCHERRER AMANDINE	2013_ST52	OPEN U. (ROYAUME-UNI)
p	SCHIFFINO NATHALIE	2009_ST22	FUCAM (BELGIQUE)
p	SCHIFFINO NATHALIE	2009_ST41	FUCAM (BELGIQUE)
p	SCHLEGEL VIANNEY	2017_ST30	CLERSE, U. LILLE 1
o	SCHLIMMER SINA	2017_ST21	CEAN-LAM, IEP BORDEAUX
p	SCHMIDT NATHALIE	2013_ST63	CEVIPOF, SCIENCES PO PARIS
o	SCHMIDT VIVIEN	2009_ST28	BOSTON U. (USA)
p	SCHMIDT-WELLENBURG CHRISTIAN	2017_ST19	U. POTSDAM (ALLEMAGNE)
p	SCHMITT ETIENNE	2019_ST30	UNIVERSITE DE CORSE PASCAL PAOLI
NA	SCHMITT FLORENT	2019_STGASAVOIRSDISCIPLINESPOUVOIRS	NA
p	SCHMITT OLIVIER	2015_STGRAM	CERIUM, U. MONTREAL (CANADA)
p	SCHMITT OLIVIER	2019_ST76	UNIVERSITY OF SOUTHERN DENMARK
p	SCHNAPPER QUENTIN	2017_ST47	CESAER, INRA DIJON / ENS PARIS
p	SCHNATTERER TINETTE	2019_ST12	SPIRIT-CED, IEP-U. BORDEAUX
p	SCHNATTERER TINETTE	2019_ST88	SPIRIT-CED, IEP-U. BORDEAUX
p	SCHNEIDER STEFFEN	2009_ST1	U. BREMEN (ALLEMAGNE)
o	SCHOTTE MANUEL	2013_ST42	CERAPS, U. LILLE 2
p	SCHRIJEN DAMIEN	2019_ST23	ARENES CNRS UMR 6051/ UNIVERSITE DE RENNES
p	SCHUFT LAURA	2011_ST53	URMIS, U. NICE SOPHIA ANTIPOLIS / IRD
p	SCHULTZ EMILIEN	2017_ST16	GEMASS, U. PARIS 4
p	SCHULTZ EMILIEN	2019_ST36	GROUPE SINCRO SOCIOLOGIE DES INNOVATIONS THERAPEUTIQUES EN CANCEROLOGIE, GUSTAVE ROUSSY SOCRATE 20 DITEP / SESSTIM U1252 INSERM
p	SCHUTZ GABRIELLE	2013_ST5	U. VERSAILLES SAINT QUENTIN
p	SCHWAK JULIETTE	2015_ST61	CITY U. HONG KONG (HONG KONG)
NA	SCHWANK QUENTIN	2019_ST71	NA
p	SCIARINI PASCAL	2009_ST5	U. GENEVE (SUISSE)
o	SCRINZI FRANCESCA	2019_ST69	(UNIVERSITE DE GLASGOW, ROYAUME UNI ET CRESPPA/GTM (GENRE TRAVAIL MOBILITES, PARIS)
p	SEBOVA MIRIAM	2019_ST58	ET ZUZANA REVESZOVA UNIVERSITE DE KOSICE, SLOVAQUIE
p	SEGALINI CELINE	2011_ST15	CEAN-LAM, IEP BORDEAUX / [SOFRECO PARIS]
p	SEGARD PAULINE	2013_ST47	U. BORDEAUX 4 / U. QUEBEC MONTREAL (CANADA)
p	SEGARD PAULINE	2015_STGRAM	U. BORDEAUX 4 / U. QUEBEC MONTREAL (CANADA)
p	SEGAS SEBASTIEN	2013_ST19	CIAPHS, U. RENNES 2
d	SEGAS SEBASTIEN	2013_ST9	CIAPHS, U. RENNES 2
c	SEGAS SEBASTIEN	2015_ST34	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
p	SEGAS SEBASTIEN	2017_ST11	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
o	SEGAS SEBASTIEN	2017_ST36	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
d	SEGAS SEBASTIEN	2019_ST58	UNIVERSITE RENNES 2, ARENES
o	SEGAS SEBASTIEN	2019_ST77	UNIVERSITE RENNES 2 ARENES, UMR 6051
p	SEGATTI PAOLO	2011_ST33	U. MILAN (ITALIE)
NA	SEGOND RAPHAELLE	2019_ST74	NA
d	SEGUIN EVE	2013_ST20	U. QUEBEC MONTREAL (CANADA)
c	SEGUIN EVE	2019_STGASAVOIRSDISCIPLINESPOUVOIRS	U. QUEBEC MONTREAL (CANADA)
p	SEILER DANIEL-LOUIS	2009_ST48	IEP AIX EN PROVENCE
p	SEKKAT KHALID	2009_ST4	DULBEA, U. LIBRE BRUXELLES (BELGIQUE)
p	SELDES BARRY	2013_ST41	RIDER U. (USA)
p	SELPONI YOHAN	2013_ST5	CADIS, EHESS PARIS
p	SELPONI YOHAN	2017_ST12	CESAER, INRA DIJON / LASSP, IEP TOULOUSE
p	SELPONI YOHAN	2019_STGASAVOIRSDISCIPLINESPOUVOIRS	LASSP IEP DE TOULOUSE
p	SEMAL LUC	2009_ST40	CETCOPRA, U. PARIS 1
o	SEMAL LUC	2013_ST62	CERAPS, U. LILLE 2
o	SEMAL LUC	2015_ST26	CESCO, MNHN PARIS
p	SEMAL LUC	2015_ST56	CESCO, MNHN PARIS
p	SEMAL LUC	2019_ST72	MUSEUM NATIONAL DHISTOIRE NATURELLE, CESCO
o	SEMELIN JACQUES	2019_ST42	CERI, SCIENCES PO
p	SEMPE MATHILDE	2015_ST10	ISSP, ENS CACHAN & U. PARIS 10
p	SENAC REJANE	2009_ST6	CMH, EHESS PARIS & ENS PARIS
o	SENAC REJANE	2011_ST22	CMH, EHESS PARIS & ENS PARIS
o	SENAC REJANE	2013_ST65	CEVIPOF, SCIENCES PO PARIS
p	SENAC REJANE	2017_ST28	CEVIPOF, SCIENCES PO PARIS
p	SENAC REJANE	2019_ST34	2017
p	SENAC REJANE	2019_ST57	CEVIPOF
p	SENEGAS LEA	2019_ST06	UNIVERSITE DE RENNES 1 ET ARENES
p	SENEGAS LEA	2019_ST30	ARENES UMR 6051/UNIVERSITE DE RENNES
p	SERANDOUR AUDREY	2019_ST02	, SOLENE REY COQUAIS, GERAUD MAGRIN, PIERRE GAUTREAU UNIVERSITE PARIS 1 PANTHEON SORBONNE, UMR PRODIG
p	SERENI PAUL	2013_ST63	CHSPM, U. PARIS 1
p	SEREQUEBERHAN HEWANE	2015_ST51	U. PARIS 2 / IRSEM PARIS
p	SERGENT ARNAUD	2011_ST12	SPIRIT-CED, IEP-U. BORDEAUX / ADBX, IRSTEA BORDEAUX
p	SERGENT ARNAUD	2017_ST4	IRSTEA BORDEAUX
p	SERRANO YENY	2017_ST17	LISEC STRASBOURG
p	SERRANO-MORENO JUAN ENRIQUE	2009_ST38	CESSP-CRPS, U. PARIS 1
p	SERRANO-MORENO JUAN ENRIQUE	2011_ST50	CESSP-CRPS, U. PARIS 1
p	SERRANO-MORENO JUAN ENRIQUE	2015_ST50	U. MURCIA (ESPAGNE)
p	SERRANO-MORENO JUAN ENRIQUE	2015_ST52	U. MURCIA (ESPAGNE)
p	SERRANO-VERLADE KATHIA	2011_ST24	U. HEIDELBERG (ALLEMAGNE)
p	SETTOUL ELYAMINE	2019_STGAINEGALITESETDISCRIMINATIONS	CNAM/LIRSA
p	SEVERIN MARIANNE	2019_ST47	LAM, BORDEAUX
p	SEYDIEH SAM	2019_ST21	UNIVERSITE LE HAVRE NORMANDIE
p	SHAFIR MICHAEL	2015_STRC20IPSA	BABES BOLYAI U. (ROUMANIE)
p	SHEMER-KUNZ YOAV	2015_ST43	U. STRASBOURG / VRIJE U. AMSTERDAM (PAYS-BAS)
p	SHEMER-KUNZ YOAV	2017_ST66	U. STRASBOURG / VRIJE U. AMSTERDAM (PAYS-BAS)
p	SHEYKO ROMAN	2013_ST41	KHARKIV INSTITUTE SOCIAL RESEARCH (UKRAINE)
p	SHIM SUNGEUN	2009_ST17	U. PARIS 10
p	SHUGART MATTHEW	2009_ST48	U. CALIFORNIA SAN DIEGO (USA)
p	SHUKAN IOULIA	2009_ST38	SCIENCES PO PARIS
p	SHUKAN IOULIA	2011_ST44	SCIENCES PO PARIS
p	SHUKAN IOULIA	2013_ST39	ISSP, ENS CACHAN & U. PARIS 10
o	SHUKAN TATYANA	2011_ST48	SCIENCES PO PARIS
NA	SHULZ SEBASTIEN	2019_ST07	NA
p	SIBLOT YASMINE	2009_ST34	CRESPPA-CSU, U. PARIS 8 / U. PARIS 1
p	SIBLOT YASMINE	2009_ST50	CRESPPA-CSU, U. PARIS 8 / U. PARIS 1
p	SIBLOT YASMINE	2015_ST17	CRESPPA-CSU, U. PARIS 8
p	SIDI MOUSSA NEDJIB	2013_ST53	CESSP-CRPS, U. PARIS 1
p	SIDOROVA ELENA	2017_ST69	CERI, SCIENCES PO PARIS
p	SIECA-KOZLOWSKI ELISABETH	2009_ST47	PIPSS
p	SIGALO SANTOS LUC	2015_ST17	CRESPPA-LABTOP, U. PARIS 8
p	SIGALO SANTOS LUC	2015_ST37	CRESPPA-LABTOP, U. PARIS 8
p	SIGALO SANTOS LUC	2017_ST2	CRESPPA-LABTOP, U. PARIS 8
o	SIGALO SANTOS LUC	2017_ST22	CRESPPA-LABTOP, U. PARIS 8
p	SIGALO SANTOS LUC	2019_ST06	UNIVERSITE AIX MARSEILLE ET LEST
p	SIGMAN CAROLE	2009_ST20	ISSP, ENS CACHAN & U. PARIS 10
p	SIGMAN CAROLE	2019_ST32	UNIVERSITE PARIS NANTERRE, CNRS, ISP
p	SILHOL GUILLAUME	2017_ST58	CHERPA, IEP AIX EN PROVENCE
p	SILVA HITALO	2019_ST47	SILVA WFARIA ADVOGADOS, BRESIL
p	SIMARD AUGUSTIN	2009_ST52	U. MONTREAL (CANADA)
d	SIMARD CAROLLE	2009_ST34	U. QUEBEC MONTREAL (CANADA)
d	SIMARD LOUIS	2009_ST41	U. OTTAWA (CANADA)
p	SIMEANT JOHANNA	2009_ST47	CESSP-CRPS, U. PARIS 1
d	SIMEANT JOHANNA	2013_ST35	CESSP-CRPS, U. PARIS 1
o	SIMEANT JOHANNA	2013_ST50	CESSP-CRPS, U. PARIS 1
o	SIMEANT JOHANNA	2015_ST12	CESSP-CRPS, U. PARIS 1
p	SIMOES RAISA	2017_ST72	U. PARIS 1
NA	SIMOES RAISA MULATINHO	2019_ST52	NA
p	SIMON ALICE	2015_ST10	CEPEL, U. MONTPELLIER 1
p	SIMON ALICE	2015_ST8	CEPEL, U. MONTPELLIER 1
o	SIMON ALICE	2017_ST46	CEPEL, U. MONTPELLIER 1
d	SIMON PATRICK	2013_ST11	MIGRATIONS INTERNATIONALES MINORITES, INED PARIS / CEE, SCIENCES PO PARIS
p	SIMONNEAU DAMIEN	2013_ST51	SPIRIT-CED, IEP-U. BORDEAUX
p	SIMONNEAU DAMIEN	2015_ST53	SPIRIT-CED, IEP-U. BORDEAUX
p	SIMONNEAU DAMIEN	2017_ST23	SPIRIT-CED, IEP-U. BORDEAUX
d	SIMONNEAU DAMIEN	2019_ST85	UNIVERSITE SAINT LOUIS BRUXELLES, CRESPO, IEE
p	SIMONNEAU DAMIEN	2019_STGAMONDIALISATIONCIRCULATIONSTRANSNATIONALISATION	U. CATHOLIQUE LOUVAIN (BELGIQUE) / U. SAINT LOUIS BRUXELLES (BELGIQUE)
p	SIMONS JENNIFER	2019_ST37	NA
p	SIMOULIN VINCENT	2015_ST41	CERTOP, U. TOULOUSE 2
o	SIMOULIN VINCENT	2019_ST06	CERTOP, U. TOULOUSE 2 / SCHOOL SOCIOLOGY, BEIJING NORMAL U. (CHINE)
NA	SINDZINGRE ALICE NICOLE	2019_ST81	NA
p	SINIGAGLIA JEREMY	2015_ST31	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	SINIGAGLIA JEREMY	2019_ST16	UNIVERSITE DE STRASBOURG SAGE
p	SINTOMER YVES	2011_ST37	CRESPPA-CSU, U. PARIS 8
d	SINTOMER YVES	2015_ST24	CRESPPA-CSU, U. PARIS 8
d	SINTOMER YVES	2017_ST39	CRESPPA-CSU, U. PARIS 8
p	SIRON THOMAS	2013_ST12	EHESS MARSEILLE
p	SITZENSTUHL CHARLES	2015_ST9	CERI, SCIENCES PO PARIS
p	SITZENSTUHL CHARLES	2017_ST69	CERI, SCIENCES PO PARIS
o	SKORNICKI ARNAULT	2013_ST60	U. PARIS 10
c	SKORNICKI ARNAULT	2017_ST3	U. PARIS 10
p	SKOURTIS ATHANASSIOS	2019_STGRUE	SKOURTIS, ZOI VARDANIKA UNIVERSITE DE READING
p	SMADJA DAVID	2009_ST11	U. PARIS EST MARNE LA VALLEE
p	SMADJA DAVID	2009_ST52	U. PARIS EST MARNE LA VALLEE
o	SMADJA DAVID	2013_ST58	U. PARIS EST MARNE LA VALLEE
p	SMADJA DAVID	2015_ST24	U. PARIS EST MARNE LA VALLEE
d	SMADJA DAVID	2017_ST3	LIPHA, U. PARIS 12 & U. PARIS EST MARNE LA VALLEE
d	SMADJA DAVID	2017_ST31	LIPHA, U. PARIS 12 & U. PARIS EST MARNE LA VALLEE
p	SMADJA DAVID	2017_ST32	LIPHA, U. PARIS 12 & U. PARIS EST MARNE LA VALLEE
p	SMADJA DAVID	2019_ST26	LIPHA, U. PARIS 12 & U. PARIS EST MARNE LA VALLEE
p	SMADJA DAVID	2019_ST34	LIPHA, U. PARIS 12 & U. PARIS EST MARNE LA VALLEE
p	SMADJA DAVID	2019_ST57	LIPHA, U. PARIS 12 & U. PARIS EST MARNE LA VALLEE
p	SMAGGHE LAURENT	2015_ST8	NA
o	SMAOUI SELIM	2015_ST50	SCIENCES PO PARIS
p	SMEDSLUND KATIA	2009_ST15	U. PARIS 3
p	SMILOV DANIEL	2013_ST41	[CENTER LIBERAL STRATEGIES SOFIA (BULGARIE)]
p	SMITH ANDY	2009_ST20	SPIRIT-CED, IEP-U. BORDEAUX
d	SMITH ANDY	2011_ST12	SPIRIT-CED, IEP-U. BORDEAUX
p	SMITH ANDY	2011_ST2	SPIRIT-CED, IEP-U. BORDEAUX
p	SMITH ANDY	2013_ST16	SPIRIT-CED, IEP-U. BORDEAUX
o	SMITH ANDY	2015_ST15	SPIRIT-CED, IEP-U. BORDEAUX
p	SMITH ANDY	2017_ST18	SPIRIT-CED, IEP-U. BORDEAUX
o	SMITH ANDY	2017_ST4	SPIRIT-CED, IEP-U. BORDEAUX
d	SMITH ANDY	2019_ST44	SPIRIT-CED, IEP-U. BORDEAUX
p	SMITH ETIENNE	2009_ST9	CERI, SCIENCES PO PARIS
p	SMITH ETIENNE	2017_ST41	CHAIRE ETUDES AFRICAINES COMPAREES, RABAT (MAROC) / CERI, SCIENCES PO PARIS
o	SMITH ETIENNE	2019_ST66	CEAN-LAM, IEP BORDEAUX
p	SMITH RODNEY	2015_STRC20IPSA	U. SYDNEY (AUSTRALIE)
d	SMOUTS MARIE-CLAUDE	2009_ST41	CERI, SCIENCES PO PARIS
d	SMYRL MARC	2009_ST20	CEPEL, U. MONTPELLIER 1
o	SMYRL MARC	2013_ST1	DENVER U. (USA)
p	SMYRL MARC	2015_ST44	CEPEL, U. MONTPELLIER 1
o	SMYRL MARC	2017_ST25	CEPEL, U. MONTPELLIER 1
p	SMYRNAIOS NIKOS	2015_ST7	LERASS, U. TOULOUSE 3
p	SMYRNAIOS NIKOS	2017_ST44	LERASS, U. TOULOUSE 3
p	SMYRNAIOS NIKOS	2019_ST22	UNIVERSITE DE TOULOUSE 3 LERASS
p	SOGODOGO ABDOUL	2019_ST15	FACULTE SCIENCES ADMINISTRATIVES POLITIQUES BAMAKO (MALI)
p	SOISSONS JULIETTE	2017_ST13	CURAPP-ESS, U. PICARDIE
p	SOLANAS FACUNDO	2019_ST36	SOLANAS CONICET, IIGG UBA, FACULTAD DE HUMANIDADES, UNMDP
p	SOLANAS FACUNDO	2019_ST84	SOLANAS IIGG UNIVERSITE DE BUENOS AIRES
p	SOLCHANY JEAN	2013_ST60	IEP LYON
p	SOLINI LAURENT	2017_ST13	SANTESIH, U. MONTPELLIER
o	SOMMERER ERWAN	2013_ST61	IHEAL-CREDA, U. PARIS 3 / NOSOPHI-GROUPE ETUDES SIEYESIENNES, U. PARIS 1
p	SOMMERER ERWAN	2015_ST47	GES-CRHI, U. NICE SOPHIA ANTIPOLIS
p	SOMMERER ERWAN	2019_ST57	GES-CRHI, U. NICE SOPHIA ANTIPOLIS
p	SOMMIER ISABELLE	2013_ST53	CESSP-CRPS, U. PARIS 1
o	SOMMIER ISABELLE	2015_ST13	CESSP-CRPS, U. PARIS 1
o	SONNTAG SELMA	2013_ST14	HUMBOLDT STATE U. (USA)
p	SOO SIM HEUNG	2013_ST41	GYEONGSANG NATIONAL U. (COREE DU SUD) / RIDER U. (USA)
p	SOO SIM HEUNG	2015_STRC20IPSA	RIDER U. (USA)
p	SOO SOLENE	2011_ST7	CERAPS, U. LILLE 2
p	SOOSAITHASAN SOLENE	2013_ST51	IEP LILLE
p	SORIANO ERIC	2013_ST25	U. MONTPELLIER 3
p	SORIAT CLEMENT	2015_ST30	CERAPS, U. LILLE 2
p	SORIAT CLEMENT	2017_ST21	CERAPS, U. LILLE 2
p	SOUANEF KARIM	2011_ST51	IRISSO, U. PARIS 9
p	SOUANEF KARIM	2015_ST7	CDSP, SCIENCES PO PARIS / IRISSO, U. PARIS 9
p	SOUBIRAN THOMAS	2011_ST52	CERAPS, U. LILLE 2
p	SOUBIRON AUDE	2009_ST29	IRISSO, U. PARIS 9
p	SOUBIRON AUDE	2011_ST22	IRISSO, U. PARIS 9
p	SOUBISE VALENTIN	2019_ST73	UNIVERSITE PARIS 1, CESSP
o	SOUIAH FARIDA	2019_ST85	LAMES, U. AIX MARSEILLE 2
p	SOULE-KOHNDOU FOLASHADE	2013_ST48	CERI, SCIENCES PO PARIS
p	SOULE-KOHNDOU FOLASHADE	2017_ST69	CERAPS, U. LILLE 2
p	SOUM EL YAMINE	2009_ST34	CADIS, EHESS PARIS
p	SOURP-TAILLARDAS MARIE-LAURE	2009_ST50	IMM-GSPM, EHESS PARIS / U. VERSAILLES SAINT QUENTIN
NA	SOUSSI SID AHMED	2019_ST54	NA
p	SOUSSOKO LILI	2019_ST09	UNIVERSITE DE STRASBOURG / SAGE
p	SOUSSOKO LILI	2019_ST42	UMR 7363, SAGE UNIVERSITE DE STRASBOURG
p	SPANU MAJA	2017_ST63	U. CAMBRIDGE (ROYAUME-UNI)
p	SPECTOR CELINE	2013_ST31	U. BORDEAUX 3
p	SPIESER CATHERINE	2009_ST23	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	SPIESER CATHERINE	2013_ST6	CEE, SCIENCES PO PARIS
d	SPIRE ALEXIS	2013_ST11	CERAPS, U. LILLE 2
o	SPIRE ALEXIS	2015_ST17	IRIS
p	SPOERER MATILDE	2015_ST25	U. PARIS 1
p	SQUARCIONI LAURE	2017_ST37	SPIRIT-CED, IEP-U. BORDEAUX
NA	SQUARCIONI LAURE	2019_ST35	NA
p	SRIDHARAN ESWARAN	2013_ST41	INSTITUTE ADVANCED STUDY INDIA, U. PENNSYLVANIA (USA)
p	STAMBOLIS-RUHSTORFER MICHAEL	2013_ST32	U. CALIFORNIA LOS ANGELES (USA)
p	STAVO-DEBAUGE JOAO	2015_ST16	U. LAUSANNE (SUISSE)
p	STAVRIDIS STELIOS	2013_ST40	ARAID, U. ZARAGOZA (ESPAGNE)
o	STAVRIDIS STELIOS	2015_ST43	ARAID, U. ZARAGOZA (ESPAGNE)
o	STAVRIDIS STELIOS	2017_ST66	ARAID-EEI, U. ZARAGOZA (ESPAGNE)
o	STEFFEN MONIKA	2009_ST23	PACTE, IEP GRENOBLE
o	STEFFEN MONIKA	2013_ST15	PACTE, IEP GRENOBLE
p	STEINER ANDREA	2013_ST49	U. FEDERAL PERNAMBUCO RECIFE (BRESIL)
p	STEINMETZ HELENE	2011_ST52	CMH-ETT, EHESS PARIS & ENS PARIS
p	STEINMETZ HELENE	2017_ST8	IDEES, U. LE HAVRE
p	STEPHAN GAEL	2019_ST20	UNIVERSITE PARIS 2, INSTITUT FRANCAIS DE LA PRESSE, CARISM
p	STEPHAN RAYA MARINA	2009_ST30	[UNESCO-HERITAGE PROTECTION INITIATIVE]
p	STERCZYNSKA ANNA	2015_ST45	CERI, SCIENCES PO PARIS
p	STIMSON JAMES	2009_ST5	U. NORTH CAROLINA CHAPEL HILL (USA)
p	STORME TRISTAN	2015_ST29	U. NANTES
p	STORUP BERANGERE	2013_ST21	[FONDATION SCIENCES CITOYENNES]
p	STRNADOVA LENKA	2013_ST31	ZAPADOCESKA U. V PLZNI (REPUBLIQUE TCHEQUE)
d	STROUP SARAH	2013_ST50	POLITICAL SCIENCE, MIDDLEBURY COLLEGE (USA)
p	STRUDEL SYLVIE	2013_ST26	U. PARIS 2
d	STRUDEL SYLVIE	2015_ST6	U. PARIS 2
o	STRUDEL SYLVIE	2017_ST33	CECP, U. PARIS 2 / CEVIPOF, SCIENCES PO PARIS
p	STUCHLIK ANDREJ	2011_ST27	DHV SPEYER (ALLEMAGNE)
p	STUPARU LORENA	2013_ST63	ISPRI, ACADEMIE ROUMAINE (ROUMANIE) / U. BUCAREST (ROUMANIE)
p	STUPPIA PAOLO	2019_ST63	CESSP, UNIVERSITE PARIS NANTERRE
p	SUDULICH LAURA	2011_ST33	U. AMSTERDAM (PAYS-BAS)
p	SUK DAVID	2015_STRC20IPSA	RIDER U. (USA)
p	SURDEZ MURIEL	2011_ST35	U. FRIBOURG (SUISSE)
p	SURDEZ MURIEL	2017_ST14	U. FRIBOURG (SUISSE)
o	SUREL YVES	2009_ST14	CERSA, U. PARIS 2
d	SUREL YVES	2009_ST15	CERSA, U. PARIS 2
p	SUREL YVES	2009_ST20	CERSA, U. PARIS 2
o	SUREL YVES	2011_ST16	CERSA, U. PARIS 2
p	SUREL YVES	2013_ST23	CERSA, U. PARIS 2
