role	i	j	affiliation
p	ARANHA ANA LUIZA	2017_ST59	U. BRITISH COLUMBIA (CANADA)
p	ARCHAT STEPHANIE	2019_ST77	IRISSO, U. PARIS 9
o	ARGIBAY CAMILO	2011_ST26	TRIANGLE, ENS-IEP LYON & U. LYON 2
o	ARGIBAY CAMILO	2013_ST34	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	ARGIBAY CAMILO	2015_ST23	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	ARGOUNES FABRICE	2009_ST30	SPIRIT-CED, IEP-U. BORDEAUX
p	ARK CEREN	2015_ST44	CESSP-CRPS, U. PARIS 1
p	ARNAUD LIONEL	2019_ST28	LASSP, IEP TOULOUSE
NA	ARRAGO-BORUAH EMILIE	2019_ST24	NA
p	ARRIGNON MEHDI	2011_ST20	PACTE, IEP GRENOBLE
p	ARRIGNON MEHDI	2011_ST46	PACTE, IEP GRENOBLE
p	ARRIGNON MEHDI	2013_ST40	PACTE, IEP GRENOBLE
p	ARRIGNON MEHDI	2015_ST39	METAFORT, AGROPARISTECH CLERMONT-FERRAND / VETAGROSUP-ENSV LYON / PACTE, IEP GRENOBLE
p	ARRIGNON MEHDI	2015_ST44	METAFORT, AGROPARISTECH CLERMONT-FERRAND / VETAGROSUP-ENSV LYON / PACTE, IEP GRENOBLE
p	ARRIGNON MEHDI	2015_ST56	METAFORT, AGROPARISTECH CLERMONT-FERRAND / VETAGROSUP-ENSV LYON / PACTE, IEP GRENOBLE
p	ARRIGNON MEHDI	2019_ST06	AGROPARISTECH / PACTE, IEP GRENOBLE
d	ARRIGNON MEHDI	2019_ST56	AGROPARISTECH / PACTE, IEP GRENOBLE
p	ARRIGNON MEHDI	2019_ST57	AGROPARISTECH / PACTE, IEP GRENOBLE
p	ARRIGNON MEHDI	2019_ST60	AGROPARISTECH, UMR PACTE
p	ARRIGONI MATHILDE	2011_ST48	CERI, SCIENCES PO PARIS
p	ARRIGONI MATHILDE	2015_ST8	CERSA, U. PARIS 2 / CERI, SCIENCES PO PARIS
p	ARSENE SEVERINE	2011_ST48	U. LILLE 3
o	ARSENE SEVERINE	2019_ST07	MEDIALAB, SCIENCES PO PARIS
p	ARTIOLI FRANCESCA	2015_ST41	CEE, SCIENCES PO PARIS / IEP BORDEAUX
p	ARTIS AMELIE	2013_ST9	IEP GRENOBLE
p	ATAKAN ELA	2011_ST7	U. GALATASARAY ISTANBUL (TURQUIE)
NA	ATTENCOURT BORIS	2019_ST45	NA
p	AUBERT ANTOINE	2017_ST3	CESSP-CRPS, U. PARIS 1
p	AUBERT ANTOINE	2017_ST74	CESSP-CRPS, U. PARIS 1
NA	AUBERT ANTOINE	2019_ST71	NA
p	AUBIN DAVID	2009_ST20	U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	AUBIN DAVID	2017_ST20	U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	AUBRY ARIANE	2017_ST6	IEP LYON
p	AUBRY AYRTON	2019_STGAMONDIALISATIONCIRCULATIONSTRANSNATIONALISATION	CENTRE DE RECHERCHES INTERNATIONALES CERI/CNRS
p	AUBURTIN ERIC	2011_ST34	IFG, U. PARIS 8
NA	AUBUSSON DE CARVALAY BRUNO	2019_STEPOPE	NA
p	AUCANTE YOHANN	2009_ST23	CESTA, EHESS PARIS
p	AUCANTE YOHANN	2015_ST38	CESPRA, EHESS PARIS
p	AUDEMARD JULIEN	2011_ST33	CEPEL, U. MONTPELLIER 1
p	AUDEMARD JULIEN	2011_ST35	CEPEL, U. MONTPELLIER 1
p	AUDEMARD JULIEN	2015_ST21	CEPEL, U. MONTPELLIER 1
o	AUDEMARD JULIEN	2015_ST4	CEPEL, U. MONTPELLIER 1
p	AUDEMARD JULIEN	2017_ST33	CEPEL, U. MONTPELLIER 1
p	AUDIKANA ANDER	2009_ST121	LVMT, U. PARIS EST MARNE LA VALLEE / PACTE, IEP GRENOBLE
